timestamp,src_ip,dst_ip,process_name,file_hash,signature_status,outbound_conn_5min,dns_query,log_line,jndi_present,entropy,label
2025-11-28T06:19:55.917959,192.168.1.100,185.45.67.88,agent.exe,e4d6c2b3d1f8e7a9c8b6d5e4f3,Unsigned,279,c2.revil-kaseya.net,Kaseya VSA agent update deployed with malicious DLL,0,7.812,kaseya_attack
2025-11-28T06:19:55.918016,192.168.1.100,104.21.45.67,agent.exe,e4d6c2b3d1f8e7a9c8b6d5e4f3,Unsigned,62,c2.revil-kaseya.net,Kaseya VSA agent update deployed with malicious DLL,0,7.306,kaseya_attack
2025-11-28T06:19:55.918029,192.168.1.100,185.199.108.33,agent.exe,e4d6c2b3d1f8e7a9c8b6d5e4f3,Unsigned,287,c2.revil-kaseya.net,Kaseya VSA agent update deployed with malicious DLL,0,7.326,kaseya_attack
2025-11-28T06:19:55.918039,192.168.1.100,185.45.67.88,agent.exe,e4d6c2b3d1f8e7a9c8b6d5e4f3,Unsigned,289,c2.revil-kaseya.net,Kaseya VSA agent update deployed with malicious DLL,0,7.513,kaseya_attack
2025-11-28T06:19:55.918048,192.168.1.100,192.168.99.666,agent.exe,e4d6c2b3d1f8e7a9c8b6d5e4f3,Unsigned,106,c2.revil-kaseya.net,Kaseya VSA agent update deployed with malicious DLL,0,7.401,kaseya_attack
2025-11-28T06:19:55.918056,192.168.1.100,104.21.45.67,agent.exe,e4d6c2b3d1f8e7a9c8b6d5e4f3,Unsigned,207,c2.revil-kaseya.net,Kaseya VSA agent update deployed with malicious DLL,0,7.325,kaseya_attack
2025-11-28T06:19:55.918065,192.168.1.100,45.32.123.99,agent.exe,e4d6c2b3d1f8e7a9c8b6d5e4f3,Unsigned,291,c2.revil-kaseya.net,Kaseya VSA agent update deployed with malicious DLL,0,7.407,kaseya_attack
2025-11-28T06:19:55.918073,192.168.1.100,185.199.108.33,agent.exe,e4d6c2b3d1f8e7a9c8b6d5e4f3,Unsigned,218,c2.revil-kaseya.net,Kaseya VSA agent update deployed with malicious DLL,0,7.289,kaseya_attack
2025-11-28T06:19:55.918080,192.168.1.100,45.32.123.99,agent.exe,e4d6c2b3d1f8e7a9c8b6d5e4f3,Unsigned,270,c2.revil-kaseya.net,Kaseya VSA agent update deployed with malicious DLL,0,7.789,kaseya_attack
2025-11-28T06:19:55.918089,192.168.1.100,185.45.67.88,agent.exe,e4d6c2b3d1f8e7a9c8b6d5e4f3,Unsigned,100,c2.revil-kaseya.net,Kaseya VSA agent update deployed with malicious DLL,0,7.386,kaseya_attack
2025-11-28T06:19:55.918098,192.168.1.100,185.45.67.88,agent.exe,e4d6c2b3d1f8e7a9c8b6d5e4f3,Unsigned,274,c2.revil-kaseya.net,Kaseya VSA agent update deployed with malicious DLL,0,7.88,kaseya_attack
